Time stamp: |  Parked cars: |  new cars in: |  cars out: |  length queue: |  cars in queue: |  last wait time: | 
44          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
45          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
46          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
47          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
48          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
49          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
50          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
51          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
52          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
53          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
54          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
55          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
56          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
57          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
58          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
59          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
60          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
61          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
62          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
63          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
64          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
65          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
66          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
67          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
68          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
69          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
70          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
71          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
72          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
73          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
74          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
75          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
76          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
77          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
78          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
79          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
80          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
81          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
82          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
83          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
84          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
85          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
86          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
87          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
88          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
89          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
90          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
91          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
92          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
93          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
94          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
95          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
96          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
97          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
98          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
99          |  0            |  0            |  0         |  0             |  0              |  4294967295      | 
